timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
1731296239563,1,INSERT,11,8871.93,1331.20,4694.71,4169.73,7950.34,8871.93,8871.93
1731296239563,2,INSERT,1,12009.47,12001.28,12005.38,12009.47,12009.47,12009.47,12009.47
1731296240066,0,INSERT,1273,36962.30,57.12,1273.29,64.35,73.15,29065.22,35749.89
1731296240066,1,INSERT,508,25182.21,59.90,581.03,67.14,73.86,18137.09,20086.78
1731296240066,2,INSERT,259,33079.29,59.84,1179.87,67.97,76.73,22904.83,33079.29
1731296240066,3,INSERT,6,32686.08,112.38,5569.63,158.08,174.97,32686.08,32686.08
1731296240569,0,INSERT,1414,152.32,57.18,64.72,63.77,69.18,83.52,145.66
1731296240569,1,INSERT,502,143.10,58.43,68.39,66.88,73.98,120.00,134.40
1731296240569,2,INSERT,251,167.68,60.06,68.29,66.81,72.64,104.70,167.68
1731296240569,3,INSERT,5,108.42,85.63,99.12,102.02,108.42,108.42,108.42
1731296241072,0,INSERT,4500,1010.69,50.18,62.49,59.94,70.08,86.91,117.25
1731296241072,1,INSERT,502,216.19,59.62,68.94,67.07,77.50,102.21,128.06
1731296241072,2,INSERT,252,111.04,59.46,68.48,66.81,75.84,90.24,111.04
1731296241072,3,INSERT,5,150.01,112.38,125.95,116.35,150.01,150.01,150.01
1731296241575,0,INSERT,4516,1579.01,49.98,59.13,56.38,70.02,89.22,178.43
1731296241575,1,INSERT,503,118.33,59.71,68.22,66.43,75.01,96.32,117.69
1731296241575,2,INSERT,252,117.31,61.18,69.30,67.45,76.35,103.74,117.31
1731296241575,3,INSERT,5,132.74,92.22,109.91,109.76,132.74,132.74,132.74
1731296242082,0,INSERT,4496,831.49,49.63,56.71,52.83,63.62,77.44,771.58
1731296242082,1,INSERT,506,92.16,59.30,66.61,65.86,70.85,84.86,89.41
1731296242082,2,INSERT,252,555.52,59.90,70.18,65.79,71.10,82.62,555.52
1731296242082,3,INSERT,5,118.85,95.94,107.21,106.05,118.85,118.85,118.85
1731296242585,0,INSERT,4545,1129.47,49.54,57.15,53.63,65.53,84.03,104.51
1731296242585,1,INSERT,503,124.29,60.99,69.10,68.03,75.33,90.43,117.76
1731296242585,2,INSERT,252,628.74,62.08,73.06,67.78,73.47,103.10,628.74
1731296242585,3,INSERT,5,118.97,88.45,103.64,102.72,118.97,118.97,118.97
1731296243088,0,INSERT,4558,801.28,49.98,59.65,58.62,68.54,86.78,99.65
1731296243088,1,INSERT,503,124.42,60.51,68.90,67.65,75.26,90.56,94.78
1731296243088,2,INSERT,251,85.63,60.74,67.69,66.81,72.64,80.64,85.63
1731296243088,3,INSERT,5,120.77,96.19,106.55,108.48,120.77,120.77,120.77
1731296243591,0,INSERT,4511,805.38,50.02,58.15,53.66,66.24,85.89,781.31
1731296243591,1,INSERT,503,111.10,58.50,71.26,70.40,78.02,95.74,103.10
1731296243591,2,INSERT,252,600.06,61.70,71.09,68.16,73.73,86.27,600.06
1731296243591,3,INSERT,5,120.13,100.99,107.81,105.34,120.13,120.13,120.13
1731296244093,0,INSERT,4235,848.89,49.70,57.71,53.66,67.45,83.39,192.38
1731296244093,1,INSERT,503,109.06,51.87,64.04,64.19,69.38,82.11,89.28
1731296244093,2,INSERT,251,99.65,62.08,68.94,68.03,73.22,88.06,99.65
1731296244093,3,INSERT,5,106.69,89.54,99.58,102.40,106.69,106.69,106.69
1731296244596,0,INSERT,4431,960.51,49.79,58.90,54.08,68.42,86.33,770.05
1731296244596,1,INSERT,501,2502.66,52.00,64.17,57.63,64.83,91.78,100.93
1731296244596,2,INSERT,252,119.68,62.02,71.94,69.44,82.30,110.53,119.68
1731296244596,3,INSERT,5,116.29,95.62,107.21,112.25,116.29,116.29,116.29
1731296245099,0,INSERT,4456,1072.13,50.21,60.34,57.92,67.97,86.53,521.22
1731296245099,1,INSERT,503,167.17,52.22,63.84,62.75,73.41,83.45,87.74
1731296245099,2,INSERT,251,92.16,63.74,73.23,72.32,80.96,89.02,92.16
1731296245099,3,INSERT,5,133.89,94.40,115.92,119.81,133.89,133.89,133.89
1731296245602,0,INSERT,4172,1201.15,49.66,58.38,53.95,64.80,85.63,788.99
1731296245602,1,INSERT,503,378.11,53.34,64.82,62.98,73.53,83.01,91.07
1731296245602,2,INSERT,252,118.97,62.82,73.54,72.25,80.83,96.32,118.97
1731296245602,3,INSERT,5,123.26,91.46,107.37,112.13,123.26,123.26,123.26
1731296246105,0,INSERT,1186,839.17,51.58,61.62,56.93,67.97,85.63,803.84
1731296246105,1,INSERT,503,84.09,53.12,63.06,62.66,68.67,76.29,79.55
1731296246105,2,INSERT,251,96.06,64.22,72.26,71.94,77.12,84.29,96.06
1731296246105,3,INSERT,5,115.45,97.73,104.63,103.36,115.45,115.45,115.45
1731296246608,0,INSERT,1256,101.95,52.03,57.81,56.99,61.60,72.64,95.30
1731296246608,1,INSERT,503,128.19,53.18,65.40,64.54,72.64,101.57,115.52
1731296246608,2,INSERT,252,130.11,63.46,72.97,71.55,79.17,99.90,130.11
1731296246608,3,INSERT,5,131.20,96.26,107.24,103.61,131.20,131.20,131.20
1731296247112,0,INSERT,1257,76.67,51.55,58.34,57.76,62.59,68.86,76.09
1731296247112,1,INSERT,503,86.78,59.74,69.73,69.50,75.58,81.92,84.54
1731296247112,2,INSERT,251,110.14,62.94,75.47,74.17,82.50,97.98,110.14
1731296247112,3,INSERT,5,144.38,104.45,123.10,127.55,144.38,144.38,144.38
1731296247615,0,INSERT,1125,1070.08,51.55,64.67,60.09,74.69,94.46,861.70
1731296247615,1,INSERT,503,201.34,57.63,67.08,65.73,72.70,86.08,140.67
1731296247615,2,INSERT,252,310.01,62.43,71.76,70.08,76.29,89.73,310.01
1731296247615,3,INSERT,5,119.17,91.97,103.26,100.61,119.17,119.17,119.17
1731296248117,0,INSERT,1092,997.89,51.23,65.39,61.53,76.29,92.54,974.85
1731296248117,1,INSERT,504,200.57,58.78,66.30,65.44,70.97,82.88,94.08
1731296248117,2,INSERT,252,82.75,55.04,64.86,65.60,71.87,79.68,82.75
1731296248117,3,INSERT,5,117.31,98.94,105.18,101.18,117.31,117.31,117.31
1731296248624,0,INSERT,1246,105.41,51.49,60.75,60.35,66.05,79.94,95.61
1731296248624,1,INSERT,505,111.61,53.38,61.45,60.35,67.07,73.15,79.94
1731296248624,2,INSERT,253,109.31,55.68,61.36,60.54,64.77,77.38,109.31
1731296248624,3,INSERT,5,135.17,99.33,109.94,104.70,135.17,135.17,135.17
1731296249127,0,INSERT,1179,1305.60,52.19,63.93,61.73,72.38,88.58,100.16
1731296249127,1,INSERT,502,1383.42,53.60,63.27,59.20,64.67,82.05,375.81
1731296249127,2,INSERT,251,82.62,54.59,60.95,60.48,64.73,71.10,82.62
1731296249127,3,INSERT,5,121.79,96.45,106.69,104.19,121.79,121.79,121.79
1731296249630,0,INSERT,1256,146.56,51.17,61.18,59.65,68.99,84.54,131.84
1731296249630,1,INSERT,501,148.48,55.23,67.10,66.24,73.86,100.54,120.58
1731296249630,2,INSERT,251,115.33,55.26,62.86,61.57,69.57,89.66,115.33
1731296249630,3,INSERT,5,151.04,99.39,120.60,115.65,151.04,151.04,151.04
1731296250133,0,INSERT,1256,115.58,56.51,63.67,63.20,67.14,75.65,115.01
1731296250133,1,INSERT,503,100.03,54.66,66.73,66.56,74.50,89.98,97.22
1731296250133,2,INSERT,251,100.03,54.82,70.37,69.69,79.61,88.58,100.03
1731296250133,3,INSERT,5,158.21,93.44,118.60,107.01,158.21,158.21,158.21
1731296250636,0,INSERT,1197,1397.76,56.80,66.69,63.52,71.23,90.56,808.45
1731296250636,1,INSERT,503,198.91,54.37,67.45,66.43,77.12,95.36,127.55
1731296250636,2,INSERT,251,141.69,56.51,67.78,66.81,74.88,91.65,141.69
1731296250636,3,INSERT,5,130.56,94.21,105.99,102.97,130.56,130.56,130.56
1731296251139,0,INSERT,1224,145.66,51.17,58.84,56.77,65.79,83.65,102.97
1731296251139,1,INSERT,502,144.90,57.06,70.36,69.12,78.78,98.30,118.72
1731296251139,2,INSERT,252,128.77,59.52,68.36,66.94,73.86,102.21,128.77
1731296251139,3,INSERT,5,131.71,100.10,116.98,112.89,131.71,131.71,131.71
1731296251642,0,INSERT,1130,374.53,50.94,60.80,57.89,71.94,90.30,183.42
1731296251642,1,INSERT,503,908.80,57.47,68.36,65.86,73.41,85.95,119.17
1731296251642,2,INSERT,251,105.66,59.36,67.24,66.62,72.25,81.22,105.66
1731296251642,3,INSERT,5,125.76,90.18,104.33,100.61,125.76,125.76,125.76
1731296252144,0,INSERT,1257,99.26,51.84,60.65,59.94,67.39,77.69,87.81
1731296252144,1,INSERT,502,109.95,53.06,59.58,59.23,63.62,71.23,77.76
1731296252144,2,INSERT,252,85.89,59.42,68.96,68.09,74.05,84.03,85.89
1731296252144,3,INSERT,5,113.73,94.85,101.51,96.25,113.73,113.73,113.73
1731296252647,0,INSERT,1177,785.41,50.85,60.62,57.38,67.84,83.39,727.55
1731296252647,1,INSERT,503,101.25,53.15,60.05,59.04,65.66,76.67,92.03
1731296252647,2,INSERT,252,106.75,59.81,68.32,67.45,73.22,87.30,106.75
1731296252647,3,INSERT,6,136.45,92.22,119.38,126.02,133.76,136.45,136.45
1731296253154,0,INSERT,1266,68.35,51.65,56.39,56.06,59.52,63.23,66.17
1731296253154,1,INSERT,505,120.00,53.54,59.80,59.10,63.30,72.58,89.02
1731296253154,2,INSERT,250,6430.72,61.34,93.82,67.90,72.58,80.77,6430.72
1731296253154,3,INSERT,5,127.81,104.51,113.86,115.14,127.81,127.81,127.81
1731296253657,0,INSERT,1256,187.26,51.26,57.27,56.77,60.51,67.14,102.40
1731296253657,1,INSERT,503,115.71,52.77,59.78,58.91,62.98,77.89,100.73
1731296253657,2,INSERT,252,114.69,61.63,70.92,69.63,75.90,96.58,114.69
1731296253657,3,INSERT,5,133.12,106.24,114.47,109.69,133.12,133.12,133.12
1731296254160,0,INSERT,1175,807.93,50.98,59.33,56.61,66.88,80.83,169.47
1731296254160,1,INSERT,503,92.09,52.06,60.09,58.78,67.39,75.71,86.02
1731296254160,2,INSERT,251,79.81,60.35,67.10,66.37,72.00,78.40,79.81
1731296254160,3,INSERT,5,126.72,99.52,107.51,103.55,126.72,126.72,126.72
1731296254663,0,INSERT,1257,93.95,51.39,56.95,56.03,61.73,71.68,84.99
1731296254663,1,INSERT,503,176.77,53.12,66.83,65.98,74.37,97.41,106.24
1731296254663,2,INSERT,252,118.14,62.18,70.41,69.25,75.65,92.99,118.14
1731296254663,3,INSERT,5,130.81,95.74,110.96,106.05,130.81,130.81,130.81
1731296255166,0,INSERT,1256,186.37,54.34,66.65,65.53,72.32,84.35,180.74
1731296255166,1,INSERT,503,125.18,53.31,65.85,65.41,74.56,90.69,105.15
1731296255166,2,INSERT,251,118.21,61.47,71.47,70.53,77.57,92.93,118.21
1731296255166,3,INSERT,5,129.98,104.26,115.55,115.20,129.98,129.98,129.98
1731296255669,0,INSERT,1138,450.56,56.67,68.04,65.06,76.67,98.37,199.55
1731296255669,1,INSERT,503,116.61,58.59,66.71,66.05,71.61,88.00,108.09
1731296255669,2,INSERT,252,186.75,56.19,70.14,68.16,78.08,100.16,186.75
1731296255669,3,INSERT,5,126.59,94.91,109.68,106.62,126.59,126.59,126.59
1731296256172,0,INSERT,1115,783.87,56.96,68.01,64.35,79.42,97.53,110.91
1731296256172,1,INSERT,503,95.61,58.27,65.82,65.18,70.33,85.25,94.46
1731296256172,2,INSERT,251,75.58,53.60,60.45,59.13,66.17,72.83,75.58
1731296256172,3,INSERT,5,107.84,90.56,98.59,98.62,107.84,107.84,107.84
1731296256675,0,INSERT,1207,943.62,51.94,63.52,61.70,70.91,93.50,124.80
1731296256675,1,INSERT,503,150.14,58.34,69.46,67.84,75.58,98.81,144.77
1731296256675,2,INSERT,252,114.37,54.69,64.76,63.20,71.81,93.63,114.37
1731296256675,3,INSERT,5,123.45,88.64,102.68,103.81,123.45,123.45,123.45
1731296257178,0,INSERT,1227,743.42,51.46,59.78,57.66,65.86,80.83,97.47
1731296257178,1,INSERT,503,192.00,59.17,69.85,68.09,78.27,88.25,104.00
1731296257178,2,INSERT,251,76.29,55.33,65.38,65.66,71.04,74.30,76.29
1731296257178,3,INSERT,5,123.52,93.50,102.16,96.96,123.52,123.52,123.52
1731296257681,0,INSERT,1203,783.36,51.01,59.74,56.67,63.04,81.92,781.82
1731296257681,1,INSERT,503,128.19,55.97,68.78,67.33,76.48,93.12,98.88
1731296257681,2,INSERT,252,90.62,54.24,63.48,63.30,68.99,75.90,90.62
1731296257681,3,INSERT,5,131.20,90.11,113.32,116.29,131.20,131.20,131.20
1731296258184,0,INSERT,1255,131.20,52.03,58.06,57.18,62.72,74.05,89.34
1731296258184,1,INSERT,504,103.42,60.42,68.74,68.03,73.60,84.09,96.06
1731296258184,2,INSERT,252,75.07,56.10,63.14,63.13,68.09,72.00,75.07
1731296258184,3,INSERT,5,141.18,96.45,109.57,103.68,141.18,141.18,141.18
1731296258691,0,INSERT,1266,156.93,51.39,58.29,57.31,62.30,75.65,117.38
1731296258691,1,INSERT,505,136.70,59.33,69.26,68.35,74.56,89.22,127.23
1731296258691,2,INSERT,252,117.12,53.79,64.89,64.48,71.10,79.30,117.12
1731296258691,3,INSERT,5,129.09,96.70,109.54,109.38,129.09,129.09,129.09
1731296259194,0,INSERT,1180,189.69,52.19,60.73,57.50,72.13,92.80,112.19
1731296259194,1,INSERT,503,90.50,61.89,68.46,67.90,72.96,83.33,87.74
1731296259194,2,INSERT,251,91.65,55.26,66.09,66.24,72.00,77.12,91.65
1731296259194,3,INSERT,5,103.74,92.35,97.64,96.13,103.74,103.74,103.74
1731296259697,0,INSERT,1161,171.78,51.33,59.39,57.05,68.09,84.61,144.00
1731296259697,1,INSERT,503,103.87,52.90,65.30,64.86,70.78,84.54,92.93
1731296259697,2,INSERT,251,114.81,55.30,65.17,64.58,70.14,81.53,114.81
1731296259697,3,INSERT,5,123.14,87.04,102.74,99.58,123.14,123.14,123.14
